Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE120856,"MYCN knock-down leads to DNA-repair deficiency in human neuroblastoma (ChIP-Seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",28,,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA494724",,SRP163489,"Weisheng Zheng","Jun 30, 2019"
GSE120857,"MYCN knock-down leads to DNA-repair deficiency in human neuroblastoma (Mnase-Seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA494723",,SRP163490,"Weisheng Zheng","Jun 30, 2019"
GSE120859,"MYCN knock-down leads to DNA-repair deficiency in human neuroblastoma","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",36,,,,,,"Weisheng Zheng","Jun 30, 2019"
GSE124616,"Abundance and localization of human UBE3A isoforms","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",19,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124616/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA512845",,SRP175161,"Carissa Sirois","Jun 30, 2019"
GSE133445,"Genome-wide occupancy of FLAG-MED25 and ETV4 in PC3 cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",5,,"BW;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133445/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA551468",,SRP212207,"Kathleen Clark","Jun 28, 2019"
GSE133448,"Genome-wide occupancy of FLAG-MED25 and ETV4 and expression profiling of shRNA-mediated knockdown of ETV4 and MED25 in the prostate cell line PC3","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",22,,,,,,"Kathleen Clark","Jun 28, 2019"
GSE120023,"Pervasive Chromatin-RNA Binding Protein Interactions Enable RNA-based Regulation of Transcription [HiC-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120023/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA491667",,SRP162016,"Rui Xiao","Jun 27, 2019"
GSE120104,"Pervasive Chromatin-RNA Binding Protein Interactions Enable RNA-based Regulation of Transcription [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",110,,"BW;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120104/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA491668",,SRP162019,"Rui Xiao","Jun 27, 2019"
GSE120110,"Pervasive Chromatin-RNA Binding Protein Interactions Enable RNA-based Regulation of Transcription","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",152,,"BED;BW;NARROWPEAK;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120110/suppl",,,"Rui Xiao","Jun 27, 2019"
GSE125658,"Study of MeCP2 binding and accessibity of chromatin in absence and presence of MeCP2 using ATAC-seq","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",13,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125658/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA517118",,SRP182052,"Shaun Michael Webb","Jun 27, 2019"
GSE125659,"Study of MeCP2 occupancy and biniding localization in the genome","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",16,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125659/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA517121",,SRP182053,"Shaun Michael Webb","Jun 27, 2019"
GSE125660,"Study of MeCP2 in LUHMES-derived neurons","Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",136,,"BIGWIG;BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125660/suppl",,,"Shaun Michael Webb","Jun 27, 2019"
GSE101148,"Epigenetic profiling of enhancers in primary glioblastoma tissues","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",5,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101148/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA393805",29625067,SRP111521,"Leo Kim","Jun 26, 2019"
GSE114858,"Targeted Gene Activation with Type I CRISPR-Cas Systems in Eukaryotes (ChIP-seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",18,,"BW;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114858/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA472878",,SRP148857,"Timothy E Reddy","Jun 26, 2019"
GSE114859,"Targeted Gene Activation with Type I CRISPR-Cas Systems in Eukaryotes","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",27,,"BW;NARROWPEAK;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114859/suppl",,,"Timothy E Reddy","Jun 26, 2019"
GSE116018,"ERα-CtBP-mediated repression of Homologous-recombination repair in ovarian cancer improves chemo-sensitivity","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",15,,,,,,"dapeng Hao","Jun 26, 2019"
GSE117534,"KMT9 writes the H4K12me1 histone mark and controls metabolism and proliferation of castration-resistant prostate cancer cells [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",16,,"BED;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117534/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA482409",,SRP154907,"Eric Metzger","Jun 26, 2019"
GSE117536,"KMT9a writes the H4K12me1 histone mark and controls metabolism and proliferation of castration-resistant prostate cancer cells","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",34,,"BED;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117536/suppl",31061526,,"Eric Metzger","Jun 26, 2019"
GSE125882,"KMT9 writes the H4K12me1 histone mark and controls metabolism and proliferation of castration-resistant prostate cancer cells [ChIP-Seq 2]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125882/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA517820",,SRP182910,"Eric Metzger","Jun 26, 2019"
GSE133300,"Sufficiency analysis of estrogen responsive enhancers using synthetic activators","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",47,,"BW;NARROWPEAK;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133300/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA551016",,SRP212078,"Jason Gertz","Jun 26, 2019"
GSE126196,"Integrative vascular endothelial cell genomics identify AIDA as a coronary artery disease candidate gene (ATACseq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"BED;BW;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126196/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA521272",,SRP184299,"Guillaume Lettre","Jun 25, 2019"
GSE126197,"Integrative vascular endothelial cell genomics identify AIDA as a coronary artery disease candidate gene (ChIPseq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"BED;BW;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126197/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA521273",,SRP184298,"Guillaume Lettre","Jun 25, 2019"
GSE126200,"Integrative vascular endothelial cell genomics identify AIDA as a coronary artery disease candidate gene","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",40,,"HIC;NARROWPEAK","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126200/suppl",,,"Guillaume Lettre","Jun 25, 2019"
GSE128499,"Pioneer factor-nucleosome binding events during differentiation are motif-encoded","Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",109,,"BED;DOCX;RTF;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128499/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA527856",,SRP188770,"Jorja Henikoff","Jun 25, 2019"
GSE113020,"Genome-wide mapping of DNA damage hotspots in response to various replication stressors","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",9,,"BEDGRAPH;BROADPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113020/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA449770",,SRP139668,"Weihang Chai","Jun 24, 2019"
GSE114274,"Genome-wide occupation of AR, FOXA1, and H3K27AC in LNCaP cells treated with selective PARP2 inhibitor UPF-1069","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",13,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114274/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA471000",,SRP145456,"Li Jia","Jun 24, 2019"
GSE114275,"Selective Targeting of PARP2 Inhibits Androgen Receptor Signaling and Prostate Cancer Growth Through Disruption of FOXA1 Function","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",31,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114275/suppl",,,"Li Jia","Jun 24, 2019"
GSE115772,"EZH2 upregulates the PI3K/AKT pathway through IGF1R and MYC in clinically aggressive CLL","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",29,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115772/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA475984",,SRP150457,"Subazini TK","Jun 24, 2019"
GSE126612,"A streamlined protocol and analysis pipeline for CUT&RUN chromatin profiling","Other;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",67,,"BED;RTF;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126612/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA522731",31232687,SRP185987,"Jorja Henikoff","Jun 24, 2019"
GSE112919,"Pol2 binding examined by ChIP-seq in inducible JMJD6 knockdown neuroblastoma cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"TXT;XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112919/suppl",,,"matthew kwok kei wong","Jun 23, 2019"
GSE113139,"H3K27ac, H3K4me and H3K4me3 binding examined by ChIP-seq in the CHP-134 neuroblastoma cell line","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",5,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113139/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA450134",,SRP139966,"matthew kwok kei wong","Jun 23, 2019"
GSE113140,"JMJD6 gene gain is a tumorigenic factor and therapeutic target in neuroblastoma","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",13,,"BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113140/suppl",,,"matthew kwok kei wong","Jun 23, 2019"
GSE129588,"JMJD6 and NMYC binding examined by ChIP-seq in NMYC overexpressing CHP134 human neuroblastoma cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129588/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA531892",,SRP191800,"matthew kwok kei wong","Jun 23, 2019"
GSE133176,"Cockayne syndrome group B deficiency reduces H3K9me3 chromatin remodeler SETDB1 and exacerbates cellular aging","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",22,,"BED;BIGWIG;BW;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133176/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA550140",,SRP202559,"Jong-Hyuk Lee","Jun 22, 2019"
GSE123711,"p63 cooperates with CTCF to modulate chromatin accessibility and architecture in skin keratinocytes","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",9,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123711/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA509627",31164150,SRP173326,"Jo Huiqing Zhou","Jun 21, 2019"
GSE99955,"Knockdown of CFIm25 or CFIm68 decreases RNA polymerase II pausing and transcription","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99955/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA390279",,SRP109106,"Michael Tellier","Jun 20, 2019"
GSE132974,"Genome-wide Profiling of H3K27ac binding in human MCF-7 cell lines","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132974/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA549608",,SRP201851,"Yafang Wang","Jun 20, 2019"
GSE133040,"Integrative epigenomic and Master Regulator analysis of adult glioblastoma - cell line gene ATAC -Seq","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BED;BIGWIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133040/suppl",,,"Bernhard Radlwimmer","Jun 20, 2019"
