Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE78064,"A Scalable Epitope Tagging Approach for High Throughput ChIP-seq Analysis","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",36,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78064/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA312498",28215080,SRP070517,"Jian Yan","Sep 01, 2016"
GSE78262,"ChIP-seq. analysis of pan-histone 3 acetylation in Romidepsin treated TCam-2","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78262/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA313057",27572311,SRP070758,"Daniel Nettersheim","Sep 01, 2016"
GSE85453,"CTCF promotes epithelial ovarian cancer metastasis by broadly controlling the expression of metastasis-associated genes","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85453/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA338493",,SRP081247,"Bo Zhu","Sep 01, 2016"
GSE86154,"O-GlcNAc Aminidase is an RNA Pol II Elongation Factor Coupled to Pausing Factors SPT5 and TIF1b","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",7,,"BEDGRAPH;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86154/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA340372",,SRP083139,"Brian Andrew Lewis","Aug 29, 2016"
GSE72476,"Epigenome screening for genes regulated by retinoblastoma-binding protein 4 (RBBP4) in glioblastoma (GBM) cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72476/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA294117",,SRP062924,"Jeff Nie","Aug 27, 2016"
GSE72477,"Identifying RBBP4-regulated transcriptome in T98G glioblastoma (GBM) cells using RNA sequencing, and epigenome screening for genes regulated by RBBP4 in GBM cells","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72477/suppl",,,"Jeff Nie","Aug 27, 2016"
GSE75914,"Genome-wide characterization of MED12 occupancy in human CD34+ cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;TDF;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75914/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA305703",27570068,SRP067255,"Beatriz Aranda-Orgilles","Aug 25, 2016"
GSE76055,"Regulation of enhancer dynamics by MED12","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens;Mus musculus",48,,"BW;CEL;TDF;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76055/suppl",27570068,,"Beatriz Aranda-Orgilles","Aug 25, 2016"
GSE76191,"RNAPol2 accounts for tumor cells liability to JQ1 [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",22,,"BED;XLS;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76191/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA306758",27443262,SRP067702,"stefano campaner","Aug 25, 2016"
GSE76192,"RNAPol2 accounts for tumor cells liability to JQ1","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",28,,"BED;CEL;XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76192/suppl",27443262,,"stefano campaner","Aug 25, 2016"
GSE77869,"Direct GR binding sites potentiate clusters of TF binding across the human genome","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77869/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA311916",,SRP070053,"Gregory Crawford","Aug 25, 2016"
GSE79429,"Direct GR binding sites potentiate clusters of TF binding across the human genome [6]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79429/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA315839",,SRP072111,"Christopher Vockley","Aug 25, 2016"
GSE79431,"Direct GR binding sites potentiate clusters of TF binding across the human genome [8]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79431/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA315837",,SRP072113,"Christopher Vockley","Aug 25, 2016"
GSE79432,"Direct GR binding sites potentiate clusters of TF binding across the human genome","Expression profiling by high throughput sequencing;Other;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",40,,"BED;BEDGRAPH;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79432/suppl",,,"Christopher Vockley","Aug 25, 2016"
GSE79563,"PAtCh-Cap: input strategy for improving analysis of ChIP-exo data sets and beyond","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",7,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79563/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA316190",27550178,SRP072271,"Bethany Buck-Koehntop","Aug 24, 2016"
GSE79564,"Input Strategy for Improving Analysis of ChIP-exo Data and Beyond [RNA-Seq]","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",9,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79564/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA316189",27550178,SRP072272,"Bethany Buck-Koehntop","Aug 24, 2016"
GSE79565,"Input Strategy for Improving Analysis of ChIP-exo Data and Beyond","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",16,,,,27550178,,"Bethany Buck-Koehntop","Aug 24, 2016"
GSE75070,"RUNX1 contributes to higher-order chromatin organization and gene regulation in breast cancer cells.","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",14,,"BED;MATRIX;TSV;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75070/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA302327",27514584,SRP066276,"Rasim Barutcu","Aug 23, 2016"
GSE85132,"Recurrent somatic mutations in POLR2A define a distinct subset of meningiomas [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",44,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85132/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA336282",27548314,SRP080853,"Victoria Elizabeth Clark","Aug 21, 2016"
GSE85135,"Recurrent somatic mutations in POLR2A define a distinct subset of meningiomas","Expression profiling by array;Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",184,,"BED;FPKM_TRACKING","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85135/suppl",27548314,,"Victoria Elizabeth Clark","Aug 21, 2016"
GSE85842,"The Long Noncoding RNA SNHG1 Regulates both the Local and Distal Genes in Cancer","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85842/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA339541",28825722,SRP082452,"Guifeng Wei","Aug 20, 2016"
GSE65323,"Genome wide extracellular signal-regulated kinase (ERK) pathway components interaction with human genome","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",20,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65323/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA273670",27587583,SRP052844,"Krzysztof Goryca","Aug 18, 2016"
