id	name	condition
human_erythropoiesis_GSE54602_s1	human_erythropoiesis_GSE54602_s1	normal
human_erythropoiesis_GSE54602_s2	human_erythropoiesis_GSE54602_s2	normal
human_erythropoiesis_GSE54602_s3	human_erythropoiesis_GSE54602_s3	normal
human_erythropoiesis_GSE54602_s4	human_erythropoiesis_GSE54602_s4	normal
human_erythropoiesis_GSE54602_s5	human_erythropoiesis_GSE54602_s5	normal
human_erythropoiesis_GSE54602_s6	human_erythropoiesis_GSE54602_s6	normal
human_erythropoiesis_GSE54602_s7	human_erythropoiesis_GSE54602_s7	normal
human_erythropoiesis_GSE54602_s8	human_erythropoiesis_GSE54602_s8	normal
HEP_BFU_s1	HEP_BFU_s1	normal
HEP_BFU_s2	HEP_BFU_s2	normal
HEP_BFU_s3	HEP_BFU_s3	normal
HEP_CFU_s1	HEP_CFU_s1	normal
HEP_CFU_s2	HEP_CFU_s2	normal
HEP_CFU_s3	HEP_CFU_s3	normal
Erythroid_GSE67893_s1	Erythroid_GSE67893_s1	normal
Erythroid_GSE67893_s2	Erythroid_GSE67893_s2	normal
Erythroid_GSE67893_s3	Erythroid_GSE67893_s3	normal
adult_erythroblasts_GSE102182_S1	adult_erythroblasts_GSE102182_S1	normal
adult_erythroblasts_GSE102182_S2	adult_erythroblasts_GSE102182_S2	normal
adult_erythroblasts_GSE102182_S3	adult_erythroblasts_GSE102182_S3	normal
adult_erythroblasts_GSE102182_S4	adult_erythroblasts_GSE102182_S4	normal
MOLM13_GSE98623_s1	MOLM13_GSE98623_s1	cancer
MOLM13_GSE98623_s2	MOLM13_GSE98623_s2	cancer
MOLM13_GSE98623_s3	MOLM13_GSE98623_s3	cancer
MOLM13_DMSO_rep1	MOLM13_DMSO_rep1	cancer
MOLM13_DMSO_rep2	MOLM13_DMSO_rep2	cancer
